qid,answerid
1,1
1,2
1,3
1,4
1,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
3,14
3,15
3,16
3,17
3,18
3,19
3,20
3,21
3,22
4,23
4,24
4,25
4,26
4,27
4,28
4,29
4,30
5,31
5,32
5,33
5,34
5,35
5,36
5,37
5,38
5,39
5,40
5,41
5,42
5,43
5,44
5,45
5,46
5,47
5,48
5,49
5,50
5,51
5,52
5,53
5,54
5,55
5,56
5,57
5,58
5,59
5,60
5,61
5,62
5,63
5,64
5,65
5,66
5,67
5,68
5,69
5,70
5,71
5,72
5,73
5,74
5,75
5,76
5,77
5,78
5,79
5,80
5,81
5,82
5,83
5,84
5,85
5,86
5,87
5,88
5,89
5,90
5,91
5,92
5,93
5,94
5,95
5,96
5,97
5,98
5,99
5,100
5,101
5,102
5,103
5,104
5,105
5,106
5,107
5,108
5,109
5,110
5,111
5,112
5,113
5,114
5,115
5,116
5,117
5,118
5,119
5,120
5,121
5,122
5,123
5,124
5,125
5,126
5,127
5,128
5,129
5,130
5,131
5,132
5,133
5,134
5,135
5,136
5,137
5,138
5,139
5,140
5,141
5,142
5,143
5,144
5,145
5,146
5,147
5,148
5,149
5,150
5,151
5,152
5,153
5,154
5,155
5,156
5,157
5,158
5,159
5,160
5,161
5,162
5,163
5,164
5,165
5,166
5,167
5,168
5,169
5,170
5,171
5,172
5,173
5,174
5,175
5,176
5,177
5,178
5,179
5,180
5,181
5,182
5,183
5,184
5,185
5,186
5,187
5,188
5,189
5,190
5,191
5,192
5,193
5,194
5,195
5,196
5,197
5,198
5,199
5,200
5,201
5,202
5,203
5,204
5,205
5,206
5,207
5,208
5,209
5,210
5,211
5,212
5,213
5,214
5,215
6,216
6,217
6,218
7,219
7,220
7,221
7,222
7,223
7,224
7,225
7,226
7,227
7,228
7,229
7,230
8,219
8,220
8,228
8,224
8,229
8,223
8,226
8,227
8,225
8,222
8,230
8,221
9,231
9,216
9,232
10,233
10,234
10,235
10,236
10,237
10,238
10,239
10,240
10,230
11,241
11,242
11,243
11,244
11,245
11,246
11,247
11,248
11,249
11,250
11,251
11,252
11,253
11,254
11,255
11,256
11,257
12,258
12,259
12,260
12,261
12,262
12,263
12,264
12,265
12,266
12,267
12,268
12,269
12,270
12,271
12,272
12,273
12,274
12,275
12,276
12,277
12,278
12,279
12,280
12,281
12,282
12,283
12,284
12,285
12,286
12,287
12,288
12,289
12,290
12,291
12,292
12,293
12,294
12,295
12,296
12,297
12,298
12,299
12,300
12,301
12,302
12,303
12,304
12,305
12,306
13,258
13,259
13,260
13,261
13,262
13,290
13,263
13,264
13,265
13,269
13,270
13,267
13,271
13,273
13,274
13,289
13,275
13,272
13,277
13,266
13,268
13,279
13,280
13,288
13,281
13,298
13,286
13,285
13,305
13,295
13,302
13,287
13,276
13,284
13,291
13,293
13,282
13,296
13,297
13,278
13,299
13,283
13,292
13,301
13,303
13,304
13,300
13,306
13,294
14,258
14,259
14,260
14,261
14,262
14,263
14,264
14,265
14,269
14,270
14,267
14,271
14,273
14,274
14,275
14,277
14,266
14,272
14,268
14,279
14,280
14,281
14,285
14,286
14,289
14,288
14,276
14,291
14,293
14,290
14,282
14,295
14,296
14,287
14,284
14,298
14,297
14,278
14,299
14,283
14,292
14,301
14,304
14,305
14,300
14,303
14,302
14,294
14,306
15,307
15,308
15,309
15,310
15,311
15,312
15,313
15,314
15,315
15,316
15,317
15,318
15,319
15,320
15,321
15,322
15,323
15,324
15,325
15,326
15,327
15,328
15,329
15,330
15,331
15,332
15,333
15,334
15,335
15,336
15,337
15,338
15,339
15,340
15,341
16,309
16,310
16,308
16,311
16,312
16,313
16,314
16,315
16,316
16,318
16,320
16,319
16,322
16,307
16,328
16,317
16,324
16,325
16,331
16,326
16,327
16,338
16,337
16,336
16,329
16,323
16,330
16,321
16,341
16,333
16,332
16,335
16,339
16,334
16,340
17,309
17,310
17,308
17,311
17,312
17,313
17,314
17,315
17,316
17,318
17,320
17,319
17,322
17,307
17,317
17,324
17,325
17,326
17,328
17,329
17,330
17,331
17,327
17,323
17,321
17,335
17,336
17,332
17,338
17,333
17,337
17,334
17,340
17,339
17,341
18,342
18,343
18,344
18,345
18,346
18,347
18,348
18,349
18,350
18,351
18,352
18,353
18,354
18,355
18,356
18,357
18,314
18,358
18,359
18,360
18,361
18,362
18,363
18,364
18,365
18,366
18,367
19,342
19,343
19,344
19,345
19,349
19,347
19,350
19,348
19,351
19,352
19,353
19,364
19,355
19,356
19,346
19,314
19,354
19,357
19,363
19,360
19,358
19,365
19,359
19,367
19,361
19,366
19,362
20,342
20,343
20,344
20,345
20,347
20,349
20,350
20,348
20,351
20,352
20,353
20,355
20,356
20,346
20,357
20,314
20,360
20,358
20,359
20,363
20,354
20,361
20,365
20,366
20,367
20,364
20,362
21,368
21,369
21,370
21,371
21,372
21,373
21,374
21,375
21,376
21,377
21,378
21,379
21,380
21,381
21,382
21,383
21,384
21,385
21,386
21,387
21,388
21,389
21,390
21,391
21,392
21,393
21,394
21,395
21,396
21,397
21,398
21,399
21,400
21,401
21,402
21,403
22,368
22,390
22,370
22,371
22,393
22,372
22,373
22,369
22,379
22,375
22,376
22,378
22,391
22,388
22,381
22,389
22,374
22,380
22,386
22,382
22,377
22,384
22,385
22,392
22,394
22,403
22,400
22,387
22,383
22,395
22,397
22,401
22,398
22,396
22,399
22,402
23,368
23,370
23,371
23,372
23,373
23,369
23,375
23,376
23,378
23,379
23,374
23,381
23,382
23,377
23,384
23,385
23,386
23,388
23,380
23,389
23,387
23,392
23,394
23,390
23,391
23,400
23,383
23,395
23,397
23,401
23,403
23,398
23,393
23,399
23,402
23,396
24,404
24,405
24,230
24,406
24,407
24,408
24,409
24,410
24,411
24,412
24,413
24,414
24,415
24,416
24,417
24,418
24,419
24,420
24,421
25,404
25,405
25,408
25,407
25,409
25,411
25,415
25,420
25,406
25,414
25,410
25,416
25,413
25,230
25,419
25,412
25,418
25,417
25,421
