ResponseId,MainBranch,Age,Employment,EdLevel,Country
1,I am a developer by profession,Under 18 years old,"Employed, full-time",Primary/elementary school,United States of America
2,I am a developer by profession,35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United Kingdom of Great Britain and Northern Ireland
3,I am a developer by profession,45-54 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",United Kingdom of Great Britain and Northern Ireland
4,I am learning to code,18-24 years old,"Student, full-time",Some college/university study without earning a degree,Canada
5,I am a developer by profession,18-24 years old,"Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Norway
6,I code primarily as a hobby,Under 18 years old,"Student, full-time",Primary/elementary school,United States of America
7,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",United States of America
8,I am learning to code,18-24 years old,"Student, full-time;Not employed, but looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Uzbekistan
9,I code primarily as a hobby,45-54 years old,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",United Kingdom of Great Britain and Northern Ireland
10,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Serbia
11,"I used to be a developer by profession, but no longer am",35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
12,I am a developer by profession,45-54 years old,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Poland
13,I am a developer by profession,35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
14,"I used to be a developer by profession, but no longer am",35-44 years old,"Not employed, and not looking for work","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Philippines
15,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bulgaria
16,I am a developer by profession,45-54 years old,"Employed, full-time",Some college/university study without earning a degree,Switzerland
17,I code primarily as a hobby,Under 18 years old,"Student, full-time",Primary/elementary school,Canada
18,I am a developer by profession,18-24 years old,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
19,I am a developer by profession,25-34 years old,"Employed, full-time",Some college/university study without earning a degree,Germany
20,I am a developer by profession,35-44 years old,"Employed, full-time",Some college/university study without earning a degree,United Kingdom of Great Britain and Northern Ireland
21,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Germany
22,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Germany
23,I am a developer by profession,45-54 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Ireland
24,I am a developer by profession,55-64 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
25,I am a developer by profession,35-44 years old,"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Italy
26,I am a developer by profession,45-54 years old,"Employed, full-time","Associate degree (A.A., A.S., etc.)",United States of America
27,I am a developer by profession,35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Italy
28,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Ukraine
29,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",United Kingdom of Great Britain and Northern Ireland
30,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Philippines
31,I am a developer by profession,Prefer not to say,"Student, full-time",Something else,Australia
32,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
33,I am a developer by profession,25-34 years old,"Employed, full-time","Associate degree (A.A., A.S., etc.)",Brazil
34,I am a developer by profession,35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Japan
35,I code primarily as a hobby,Under 18 years old,"Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",United States of America
36,I am a developer by profession,25-34 years old,"Employed, full-time",Some college/university study without earning a degree,United States of America
37,I am a developer by profession,18-24 years old,"Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Austria
38,I am a developer by profession,25-34 years old,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Iran, Islamic Republic of..."
39,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",France
40,I am a developer by profession,Under 18 years old,"Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Saudi Arabia
41,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Brazil
42,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Italy
43,I am a developer by profession,35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Ireland
44,I am a developer by profession,35-44 years old,"Employed, full-time;Student, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Austria
45,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Romania
46,I am a developer by profession,25-34 years old,"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United Kingdom of Great Britain and Northern Ireland
47,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",United States of America
48,I am a developer by profession,45-54 years old,"Employed, part-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",United States of America
49,I am a developer by profession,65 years or older,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,Germany
50,I am a developer by profession,25-34 years old,"Employed, full-time",Some college/university study without earning a degree,Germany
51,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Student, full-time",Some college/university study without earning a degree,United Kingdom of Great Britain and Northern Ireland
52,I am a developer by profession,18-24 years old,"Student, full-time;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",United States of America
53,I am a developer by profession,18-24 years old,"Student, part-time;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Germany
54,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bulgaria
55,I am a developer by profession,25-34 years old,"Employed, full-time",Some college/university study without earning a degree,United Kingdom of Great Britain and Northern Ireland
56,"I am not primarily a developer, but I write code sometimes as part of my work/studies",55-64 years old,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Germany
57,I code primarily as a hobby,Under 18 years old,I prefer not to say,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Italy
58,I am a developer by profession,25-34 years old,"Employed, full-time",Some college/university study without earning a degree,Turkey
59,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Student, full-time",Some college/university study without earning a degree,India
60,I am a developer by profession,25-34 years old,"Not employed, but looking for work","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Ireland
61,I code primarily as a hobby,18-24 years old,"Student, full-time;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Nepal
62,I am a developer by profession,55-64 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Switzerland
63,I am learning to code,18-24 years old,"Student, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Algeria
64,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bulgaria
65,"I used to be a developer by profession, but no longer am",45-54 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Sweden
